TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
1,2,1127,0,0,74,48,323,242,279,89,27,7,25,5,3,5,1228,1102,613,489,0,11,179,386,526,983,248,735,115,4,24,112,183,157,159,138,123,206,260,48,493,10,3,288,1100,2,4
1,2,722,0,0,0,0,120,150,211,101,101,24,10,5,0,0,1405,1405,832,573,0,0,0,519,886,1350,744,606,55,0,0,6,87,196,268,297,299,252,475,9,580,6,30,305,1396,9,1
1,2,698,6,14,82,107,144,108,11,3,52,54,63,43,8,3,1186,1143,548,595,0,0,6,287,850,773,679,94,283,87,33,154,174,207,195,145,127,108,943,11,31,5,0,153,1139,4,1
1,2,534,0,1,9,3,89,124,180,128,0,0,0,0,0,0,1465,1354,707,647,0,225,200,376,553,892,351,541,462,0,51,137,240,286,242,177,111,110,520,85,308,15,1,425,1351,3,16
1,2,3493,10,42,20,80,261,526,734,758,378,299,126,107,88,64,1809,1757,659,1098,3,8,4,18,1724,1600,1592,8,157,0,1,29,148,292,258,219,270,540,1494,25,65,40,4,129,1663,94,14
1,2,9000,52,160,89,150,1531,1796,1466,1101,873,504,356,273,410,239,5887,5863,2305,3558,0,0,0,59,5804,5235,4699,536,628,0,18,163,397,637,821,865,1014,1948,5313,217,9,173,4,147,5590,273,0
1,2,3075,1,1,3,8,146,258,688,658,555,340,133,107,99,78,2861,2845,1146,1699,0,9,0,21,2815,2710,2710,0,130,5,3,49,162,423,415,494,552,747,900,14,42,27,0,1862,2763,82,1
1,2,2007,1,58,22,42,260,312,342,251,251,211,110,60,49,38,1721,1633,795,838,0,11,27,257,1338,1554,923,631,79,0,45,210,277,270,204,216,206,205,981,26,109,54,2,461,1616,17,19
3,7,114,0,1,0,0,3,16,39,21,20,8,0,2,2,2,53,52,22,30,0,0,1,11,40,4,0,4,25,23,0,1,5,5,20,6,8,7,42,2,1,1,0,6,52,0,0
3,3,28,0,0,0,0,5,4,6,12,0,0,0,0,1,0,33,32,10,22,0,0,0,17,15,11,0,11,19,2,0,2,1,2,2,6,7,12,31,0,0,1,0,0,32,0,0
2,7,44,0,0,0,0,1,0,12,10,8,4,4,3,1,1,204,194,102,92,0,0,46,89,59,49,13,36,54,91,6,10,31,25,31,30,18,43,183,1,3,0,0,7,194,0,0
3,3,53,0,0,1,0,0,4,15,13,11,7,1,0,0,1,87,83,15,68,0,1,4,42,36,10,0,10,12,61,1,0,3,11,7,11,17,33,42,0,1,0,0,40,83,0,0
3,5,68,0,1,4,0,9,13,25,8,4,1,1,1,0,1,113,113,48,65,0,0,29,41,43,33,1,32,58,22,3,13,34,25,14,9,8,7,107,0,6,0,0,0,113,0,0
1,2,652,0,1,0,4,12,27,15,37,240,196,59,52,4,5,986,899,426,473,0,25,95,316,463,828,549,279,47,24,50,102,129,184,176,126,86,46,338,19,318,3,0,221,893,6,9
